date,open,high,low,close,volume,adjusted,roc_z,outlier,stock
2024-01-23,84.3311004638672,84.3311004638672,78.6872940063477,80.3511734008789,32544236,78.4932174682617,-5.01683064819438,1,3M
2024-07-23,80.9199981689453,85.0699996948242,79.8300018310547,80.4700012207031,2721300,80.1686477661133,-6.26369956603118,1,A. O. Smith
2024-04-25,83.9000015258789,83.9100036621094,80.6399993896484,82.8199996948242,2381000,82.1925430297852,-3.12319456870732,1,A. O. Smith
2024-01-03,80.870002746582,80.870002746582,78.0899963378906,78.7099990844727,1276800,77.8075332641602,-2.16009876505365,1,A. O. Smith
2024-08-05,111.339996337891,112,108.370002746582,108.629997253418,7121400,108.629997253418,-2.00336368044743,1,Abbott
2024-07-18,102.389999389648,104.150001525879,99.7099990844727,100.069999694824,13078800,100.069999694824,-3.70202150624616,1,Abbott
2024-04-17,107.529998779297,108.720001220703,104.25,105.900001525879,12002900,105.34114074707,-2.52988225176412,1,Abbott
2024-03-18,115.349998474121,115.76000213623,112.290000915527,112.440002441406,12991000,111.29467010498,-2.20002464377133,1,Abbott
2024-03-15,113.019996643066,115.48999786377,112.26000213623,115.48999786377,22413200,114.313591003418,-2.35735008429735,1,Abbott
2024-01-24,110.75,113.349998474121,109.73999786377,110.769996643066,8710800,109.641670227051,-2.36263065406604,1,Abbott
2024-08-05,187.449996948242,189.289993286133,183.039993286133,184.360000610352,6459300,184.360000610352,-2.1322080052634,1,AbbVie
2024-07-02,168.630004882813,168.630004882813,165.449996948242,165.960006713867,5965500,164.449325561523,-2.11953023892118,1,AbbVie
2024-04-26,167.089996337891,167.460006713867,157.649993896484,159.619995117188,10721700,158.167037963867,-3.71884099815106,1,AbbVie
2024-04-12,164.449996948242,164.449996948242,160,162.279998779297,7029400,160.802825927734,-2.54848119919446,1,AbbVie
2024-04-04,177.649993896484,177.699996948242,167.449996948242,167.899993896484,10539000,164.832290649414,-4.31440177890605,1,AbbVie
2024-03-21,363.989990234375,369.029998779297,342.279998779297,345.029998779297,9574800,342.198486328125,-6.16780723072392,1,Accenture
2024-05-30,464.899993896484,466.820007324219,444.839996337891,445.869995117188,5606900,445.869995117188,-2.91729231266971,1,Adobe Inc.
2024-03-15,499.640014648438,503.130004882813,485,492.459991455078,19570500,492.459991455078,-6.26115766813881,1,Adobe Inc.
2024-02-16,589.900024414063,590.140014648438,546.369995117188,546.659973144531,10323000,546.659973144531,-3.27168514069974,1,Adobe Inc.
2024-08-01,145,147.289993286133,130.240005493164,132.539993286133,94731900,132.539993286133,-2.71931238576643,1,Advanced Micro Devices
2024-07-17,169.800003051758,169.800003051758,159.369995117188,159.429992675781,76954200,159.429992675781,-3.39289073439157,1,Advanced Micro Devices
2024-05-01,148.110000610352,151.369995117188,142.139999389648,144.270004272461,89413200,144.270004272461,-2.94143883096142,1,Advanced Micro Devices
2024-04-04,182.919998168945,183.020004272461,165.649993896484,165.830001831055,88280000,165.830001831055,-2.71949270139661,1,Advanced Micro Devices
2024-08-05,16.75,16.9500007629395,16,16.2900009155273,8794300,16.2900009155273,-2.09464753208406,1,AES Corporation
2024-07-15,18.25,18.3199996948242,16.9599990844727,17,13899300,16.8346824645996,-4.43148018527096,1,AES Corporation
2024-06-28,19.2099990844727,19.2099990844727,17.3500003814697,17.5699996948242,28445300,17.3991394042969,-3.48014521193957,1,AES Corporation
2024-04-12,17.7199993133545,17.9699993133545,16.8299999237061,16.8500003814697,7681300,16.5245113372803,-2.33583165000112,1,AES Corporation
2024-02-13,16.4300003051758,16.5400009155273,15.6999998092651,16,7946300,15.6909303665161,-2.23284702830919,1,AES Corporation
